Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
47,1.0,0.0006710158721543848,1.0,1.0,24.563624648332123,0.922446374297142
48,1.0,0.0006600173441693186,1.0,1.0,34.161389569496286,0.9307944707274437
49,1.0,0.0005823948159813881,1.0,1.0,34.04724250918128,0.9331171621084213
50,1.0,0.0005622313553467393,1.0,1.0,28.71391444227624,0.9326368201971054
51,1.0,0.0006466492959298194,1.0,1.0,28.303519576475395,0.9278277736902237
52,1.0,0.0006571657652966679,1.0,1.0,30.772455333262158,0.9314423425793648
53,1.0,0.0006565773840993643,1.0,1.0,32.08052595660925,0.9333415104150772
54,1.0,0.000773217680864036,1.0,1.0,32.562354458790985,0.9352008447051048
55,1.0,0.0006233393270522357,1.0,1.0,33.78232659591173,0.9302622367739677
56,1.0,0.0007039346508681774,1.0,1.0,30.402275525606058,0.9260865669846535
57,1.0,0.0007112395856529474,1.0,1.0,33.53103944476141,0.9286623143553734
58,1.0,0.0005899528320878744,1.0,1.0,29.782288460458478,0.9330357958078385
59,1.0,0.0006271772338077426,1.0,1.0,30.022653272466442,0.9323337181806565
60,1.0,0.0006921891432721168,1.0,1.0,32.905187033471506,0.9321485854387284
61,1.0,0.0006395487505942583,1.0,1.0,32.49917593371764,0.9342759361863137
62,1.0,0.0008083145692944527,1.0,1.0,27.233212109532555,0.9253424687981605
63,1.0,0.0012455274811945857,1.0,1.0,22.871422720245537,0.8833243346214295
64,1.0,0.0010596542148850858,1.0,1.0,26.12536040391507,0.9204567118287087
65,1.0,0.0007281369529664516,1.0,1.0,34.19501562138882,0.9343183381557465
66,1.0,0.0006348362527787686,1.0,1.0,33.22533581997154,0.9331622871756554
